"310567","0949-2984","Finance and Stochastics","10.1007/s00780-013-0220-9","Beyond cash-additive risk measures: when changing the numéraire fails","Springer Nature","18","1","31","9","2014","bwl"
"310568","0949-2984","Finance and Stochastics","10.1007/s00780-013-0222-7","Bottleneck options","Springer Nature","18","4","25","1","2014","bwl"
"310569","0949-2984","Finance and Stochastics","10.1007/s00780-016-0312-4","Liquidity management with decreasing returns to scale and secured credit line","Springer Nature","20","4","29","0","2016","bwl"
"310570","0949-2984","Finance and Stochastics","10.1007/s00780-016-0313-3","Short-term asymptotics for the implied volatility skew under a stochastic volatility model with Lévy jumps","Springer Nature","20","4","46","0","2016","bwl"
"310571","0949-2984","Finance and Stochastics","10.1007/s00780-018-0355-9","Approximation of forward curve models in commodity markets with arbitrage-free finite-dimensional models","Springer Nature","22","2","35","0","2018","bwl"
"310572","0949-2984","Finance and Stochastics","10.1007/s00780-016-0301-7","A Feynman–Kac-type formula for Lévy processes with discontinuous killing rates","Springer Nature","20","4","45","3","2016","bwl"
"310573","0949-2984","Finance and Stochastics","10.1007/s00780-011-0155-y","Strict local martingale deflators and valuing American call-type options","Springer Nature","16","2","20","6","2012","bwl"
"310574","0949-2984","Finance and Stochastics","10.1007/s00780-013-0208-5","Multilevel dual approach for pricing American style derivatives","Springer Nature","17","4","20","10","2013","bwl"
"310575","0949-2984","Finance and Stochastics","10.1007/s00780-012-0180-5","Continuous-time trading and the emergence of probability","Springer Nature","16","4","69","15","2012","bwl"
"310576","0949-2984","Finance and Stochastics","10.1007/s00780-014-0246-7","Portfolio optimization with insider’s initial information and counterparty risk","Springer Nature","19","1","20","0","2015","bwl"
"310577","0949-2984","Finance and Stochastics","10.1007/s00780-017-0323-9","Equilibrium in risk-sharing games","Springer Nature","21","3","31","1","2017","bwl"
"310578","0949-2984","Finance and Stochastics","10.1007/s00780-016-0322-2","Change of numeraire in the two-marginals martingale transport problem","Springer Nature","21","2","16","2","2017","bwl"
"310579","0949-2984","Finance and Stochastics","10.1007/s00780-017-0349-z","An enlargement of filtration formula with applications to multiple non-ordered default times","Springer Nature","22","1","33","0","2018","bwl"
"310580","0949-2984","Finance and Stochastics","10.1007/s00780-011-0164-x","Small transaction costs, absence of arbitrage and consistent price systems","Springer Nature","16","3","6","1","2012","bwl"
"310581","0949-2984","Finance and Stochastics","10.1007/s00780-011-0166-8","Singular risk-neutral valuation equations","Springer Nature","16","2","31","3","2012","bwl"
"310582","0949-2984","Finance and Stochastics","10.1007/s00780-012-0175-2","Long-term optimal portfolios with floor","Springer Nature","16","3","46","2","2012","bwl"
"310583","0949-2984","Finance and Stochastics","10.1007/s00780-012-0178-z","Asymptotic and exact pricing of options on variance","Springer Nature","17","1","27","9","2013","bwl"
"310584","0949-2984","Finance and Stochastics","10.1007/s00780-012-0186-z","Optimal dividend policies with transaction costs for a class of jump-diffusion processes","Springer Nature","17","1","24","10","2013","bwl"
"310585","0949-2984","Finance and Stochastics","10.1007/s00780-012-0173-4","An optimal stopping problem with a reward constraint","Springer Nature","16","3","26","1","2012","bwl"
"310586","0949-2984","Finance and Stochastics","10.1007/s00780-015-0262-2","Approximate hedging for nonlinear transaction costs on the volume of traded assets","Springer Nature","19","3","20","0","2015","bwl"
"310587","0949-2984","Finance and Stochastics","10.1007/s00780-013-0223-6","Asymptotics of implied volatility to arbitrary order","Springer Nature","18","2","20","28","2014","bwl"
"310588","0949-2984","Finance and Stochastics","10.1007/s00780-018-0360-z","The microstructural foundations of leverage effect and rough volatility","Springer Nature","22","2","62","3","2018","bwl"
"310589","0949-2984","Finance and Stochastics","10.1007/s00780-013-0210-y","Transaction costs, trading volume, and the liquidity premium","Springer Nature","18","1","37","29","2014","bwl"
"310590","0949-2984","Finance and Stochastics","10.1007/s00780-014-0238-7","Superreplication under model uncertainty in discrete time","Springer Nature","18","4","34","6","2014","bwl"
"310591","0949-2984","Finance and Stochastics","10.1007/s00780-015-0277-8","RETRACTED ARTICLE: The distribution of the maximum of a variance gamma process and path-dependent option pricing","Springer Nature","19","4","31","0","2015","bwl"
"310592","0949-2984","Finance and Stochastics","10.1007/s00780-013-0212-9","Variation and share-weighted variation swaps on time-changed Lévy processes","Springer Nature","17","4","19","1","2013","bwl"
"310593","0949-2984","Finance and Stochastics","10.1007/s00780-015-0276-9","A convergence result for the Emery topology and a variant of the proof of the fundamental theorem of asset pricing","Springer Nature","19","4","34","2","2015","bwl"
"310594","0949-2984","Finance and Stochastics","10.1007/s00780-017-0338-2","Pathwise superreplication via Vovk’s outer measure","Springer Nature","21","4","37","4","2017","bwl"
"310595","0949-2984","Finance and Stochastics","10.1007/s00780-016-0307-1","Another look at the integral of exponential Brownian motion and the pricing of Asian options","Springer Nature","20","4","35","1","2016","bwl"
"310596","0949-2984","Finance and Stochastics","10.1007/s00780-012-0190-3","Model-independent hedging strategies for variance swaps","Springer Nature","16","4","27","19","2012","bwl"
"310597","0949-2984","Finance and Stochastics","10.1007/s00780-015-0279-6","Risk measures with the CxLS property","Springer Nature","20","2","37","11","2016","bwl"
"310598","0949-2984","Finance and Stochastics","10.1007/s00780-015-0267-x","Addendum to: Multilevel dual approach for pricing American style derivatives","Springer Nature","19","3","4","1","2015","bwl"
"310599","0949-2984","Finance and Stochastics","10.1007/s00780-015-0266-y","Hedge and mutual funds’ fees and the separation of private investments","Springer Nature","19","3","19","1","2015","bwl"
"310600","0949-2984","Finance and Stochastics","10.1007/s00780-015-0284-9","Model-independent superhedging under portfolio constraints","Springer Nature","20","1","35","5","2016","bwl"
"310601","0949-2984","Finance and Stochastics","10.1007/s00780-011-0158-8","Tangent Lévy market models","Springer Nature","16","1","35","9","2012","bwl"
"310602","0949-2984","Finance and Stochastics","10.1007/s00780-011-0159-7","On the calibration of local jump-diffusion asset price models","Springer Nature","15","4","51","1","2011","bwl"
"310603","0949-2984","Finance and Stochastics","10.1007/s00780-017-0330-x","The exact Taylor formula of the implied volatility","Springer Nature","21","3","48","3","2017","bwl"
"310604","0949-2984","Finance and Stochastics","10.1007/s00780-017-0351-5","Shadow prices, fractional Brownian motion, and portfolio optimisation under transaction costs","Springer Nature","22","1","29","1","2018","bwl"
"310605","0949-2984","Finance and Stochastics","10.1007/s00780-013-0225-4","Comparative and qualitative robustness for law-invariant risk measures","Springer Nature","18","2","40","33","2014","bwl"
