"1","1","Brazil","1","1","10.1080/19416520.2012.678697","122","2012","1941-6520","The Sporting Life: Exploring Organizations through the Lens of Sport","Academy of Management Annals","bwl",\N
"2","1","United Kingdom","1","2","10.5465/annals.2016.0167","9","2018","1941-6520"," The Academy of Management Annals : Looking Back, Looking Forward ","Academy of Management Annals","bwl",\N
"3","1","India","1","3","10.1080/19416520.2011.587283","58","2011","1941-6520","Naï{dotless}veté and cynicism in negotiations and other competitive contexts","Academy of Management Annals","bwl",\N
"4","1","France","1","4","10.5465/annals.2016.0077","33","2018","1941-6520","Work–Family Backlash: The “Dark Side” of Work–Life Balance (WLB) Policies","Academy of Management Annals","bwl",\N
"5","1","United States","3","5","10.5465/annals.2014.0079","71","2017","1941-6520","Redirecting Research Efforts on the Diversification–Performance Linkage: The Search for Synergy","Academy of Management Annals","bwl",\N
"6","1","Hong Kong","1","6","10.5465/19416520.2016.1162423","0","2018","1941-6520","                    Diverging and Converging:                    Integrative Insights on a Paradox Meta-perspective                  ","Academy of Management Annals","bwl",\N
"7","3","United States","4","7","10.5465/annals.2016.0044","96","2017","1941-6520","A Multi-Level Process Model for Understanding Diversity Practice Effectiveness","Academy of Management Annals","bwl",\N
"8","3","United Kingdom","1","8","10.5465/annals.2016.0055","21","2018","1941-6520","Control–Trust Dynamics in Organizations: Identifying Shared Perspectives and Charting Conceptual Fault Lines","Academy of Management Annals","bwl",\N
"9","3","Portugal","1","9","10.5465/19416520.2013.782190","324","2018","1941-6520","Research on Women Entrepreneurs: Challenges to (and from) the Broader Entrepreneurship Literature?","Academy of Management Annals","bwl",\N
"10","5","Canada","1","10","10.5465/annals.2017.0035","19","2018","1941-6520","More Than Just a Number? The Conceptualization and Measurement of Firm Age in an Era of Temporary Organizations","Academy of Management Annals","bwl",\N
"11","5","China","1","11","10.5465/annals.2016.0094","37","2018","1941-6520","Social Resource Management: Integrating Social Network Theory and Human Resource Management","Academy of Management Annals","bwl",\N
"12","9","Canada","1","12","10.5465/annals.2016.0133","12","2018","1941-6520","The Dilemma Portfolio: A Strategy to Advance the Study of Social Dilemmas in Organizations","Academy of Management Annals","bwl",\N
"13","9","Brazil","1","13","10.5465/annals.2016.0045","43","2018","1941-6520","Developing, Sustaining, and Maximizing Team Effectiveness: An Integrative, Dynamic Perspective of Team Development Interventions","Academy of Management Annals","bwl",\N
"15","9","Portugal","1","15","10.5465/19416520.2013.798963","0","2018","1941-6520","Erratum","Academy of Management Annals","bwl",\N
"16","9","Hong Kong","1","16","10.5465/annals.2015.0126","203","2017","1941-6520","Self-Control at Work","Academy of Management Annals","bwl",\N
"17","9","India","1","17","10.5465/annals.2016.0046","43","2017","1941-6520","Putting Escalation of Commitment in Context: A Multilevel Review and Analysis","Academy of Management Annals","bwl",\N
"18","9","United States","3","18","10.5465/annals.2016.0041","78","2018","1941-6520","Valuing Multiple Trajectories of Knowledge: A Critical Review and Agenda for Knowledge Management Research","Academy of Management Annals","bwl",\N
"19","9","United Kingdom","1","19","10.5465/annals.2016.0031","38","2018","1941-6520","CEO Attributes and Firm Performance: A Sequential Mediation Process Model","Academy of Management Annals","bwl",\N
"20","9","Denmark","1","20","10.1080/19416520.2016.1157308","1","2016","1941-6520","Erratum","The Academy of Management Annals","bwl",\N
"23","9","Spain","2","23","10.1080/19416520.2016.1160515","2","2016","1941-6520","Leadership and Affect:","The Academy of Management Annals","bwl",\N
"24","14","United Kingdom","2","24","10.1080/19416520.2014.885252","4","2014","1941-6520","More Formally:","Academy of Management Annals","bwl",\N
"25","14","Italy","1","25","10.1080/19416520.2012.672039","1","2017","1941-6520","Vaara & Whittington 2012 - SAP: Taking Social Practises Seriously",\N,"bwl",\N
"26","14","France","2","26","10.5465/annals.2016.0018","83","2017","1941-6520","Renewing Research on Problemistic Search—A Review and Research Agenda","Academy of Management Annals","bwl",\N
"27","14","United States","3","27","10.5465/annals.2015.0148","82","2017","1941-6520","Living and Dying: Synthesizing the Literature on Firm Survival and Failure across Stages of Development","Academy of Management Annals","bwl",\N
"29","14","Hong Kong","1","29","10.1080/19416520.2012.660761","187","2012","1941-6520","Religion and Organization: A Critical Review of Current Trends and Future Directions","Academy of Management Annals","bwl",\N
"30","14","Russia","1","30","10.5465/annals.2014.0054","113","2017","1941-6520","Work Design Influences: A Synthesis of Multilevel Factors that Affect the Design of Jobs","Academy of Management Annals","bwl",\N
"31","16","United Kingdom","2","31","10.1080/19416520.2011.585818","231","2011","1941-6520","Toward a theory of the informal economy","Academy of Management Annals","bwl",\N
"34","16","United States","4","34","10.5465/19416520.2013.783668","195","2018","1941-6520","Accounting, Organizing, and Economizing: Connecting Accounting Research and Organization Theory","Academy of Management Annals","bwl",\N
"35","16","Sweden","1","35","10.5465/19416520.2013.766076","349","2018","1941-6520","Imprinting: Toward a Multilevel Theory","Academy of Management Annals","bwl",\N
"37","21","United Kingdom","2","37","10.5465/annals.2016.0109","65","2018","1941-6520","Uncertainty, Knowledge Problems, and Entrepreneurial Action","Academy of Management Annals","bwl",\N
"38","21","Italy","1","38","10.5465/annals.2016.0051","90","2018","1941-6520","Incumbent Adaptation to Technological Change: The Past, Present, and Future of Research on Heterogeneous Incumbent Response","Academy of Management Annals","bwl",\N
"39","21","Chile","1","39","10.1080/19416520.2014.875671","20","2014","1941-6520","The Academy of Management Annals Power in Management and Organization Science Power in Management and Organization Science","The Academy of Management Annals","bwl",\N
"41","21","India","1","41","10.1080/19416520.2013.798963","1","2013","1941-6520","Erratum","Academy of Management Annals","bwl",\N
"42","21","United States","3","42","10.5465/annals.2015.0152","71","2017","1941-6520","Organizations as Polities: An Open Systems Perspective","Academy of Management Annals","bwl",\N
"44","21","Ireland","1","44","10.5465/annals.2016.0035","56","2017","1941-6520","Meaning at the Source: The Dynamics of Field Formation in Institutional Research","Academy of Management Annals","bwl",\N
"45","21","Switzerland","1","45","10.1080/19416520.2011.589143","344","2011","1941-6520","Routines revisited: Exploring the capabilities and practice perspectives","Academy of Management Annals","bwl",\N
"46","22","United States","1","46","10.5465/annals.2014.0019","109","2017","1941-6520","Transforming Research on Diversity and Firm Performance: A Dynamic Capabilities Perspective","Academy of Management Annals","bwl",\N
"47","24","Germany","1","47","10.5465/annals.2016.0095","119","2018","1941-6520","Successful Organizational Change: Integrating the Management Practice and Scholarly Literatures","Academy of Management Annals","bwl",\N
"49","27","Australia","1","49","10.5465/annals.2016.0008","46","2018","1941-6520","Personality Change: Implications for Organizational Behavior","Academy of Management Annals","bwl",\N
"50","28","Brazil","3","50","10.5465/annals.2015.0121","78","2017","1941-6520","Inducements and Motives at the Top: A Holistic Perspective on the Drivers of Executive Behavior","Academy of Management Annals","bwl",\N
"52","28","Italy","1","52","10.5465/annals.2015.0155","41","2017","1941-6520","Workplace Courage: Review, Synthesis, and Future Agenda for a Complex Construct","Academy of Management Annals","bwl",\N
"53","28","Peru","1","53","10.1080/19416520.2016.1120963","21","2016","1941-6520","Narratives as Sources of Stability and Change in Organizations","The Academy of Management Annals","bwl",\N
"54","28","Portugal","3","54","10.5465/annals.2016.0124","39","2018","1941-6520","The Formation of Organizational Reputation","Academy of Management Annals","bwl",\N
"55","28","Pakistan","1","55","10.1080/19416520.2011.589594","132","2011","1941-6520","Crisis management: Informing a new leadership research agenda","Academy of Management Annals","bwl",\N
"56","28","Tanzania","1","56","10.1080/19416520.2014.873177","14","2014","1941-6520","The Academy of Management Annals Sensemaking in Organizations :","The Academy of Management Annals","bwl",\N
"57","28","Finland","1","57","10.5465/19416520.2013.774981","282","2018","1941-6520","Returning to the Frontier of Contingency Theory of Organizational and Institutional Designs","Academy of Management Annals","bwl",\N
"58","28","France","1","58","10.1080/19416520.2013.774981","1","2013","1941-6520","Returning to the Frontier of Contingency Theory of Organizational and Institutional Designs","The Academy of Management Annals","bwl",\N
"60","28","Malaysia","1","60","10.5465/annals.2014.0086","62","2017","1941-6520"," An Aspirational View of Organizational Control Research: Re-invigorating Empirical Work to Better Meet the Challenges of 21 st Century Organizations ","Academy of Management Annals","bwl",\N
"62","28","Ireland","1","62","10.1080/19416520.2015.1024498","4","2015","1941-6520","The Academy of Management Annals Modelling Bounded Rationality in Organizations : Progress and Prospects Modelling Bounded Rationality in Organizations :","The Academy of Management Annals","bwl",\N
"63","28","Switzerland","1","63","10.5465/19416520.2013.787709","71","2018","1941-6520","Research on Markets for Inventions and Implications for R&D Allocation Strategies","Academy of Management Annals","bwl",\N
"64","28","Germany","1","64","10.1080/19416520.2016.1153260","33","2016","1941-6520","The Bright Side of Being Prosocial at Work, and the Dark Side, Too:","The Academy of Management Annals","bwl",\N
"65","28","Poland","1","65","10.1080/19416520.2012.691646","352","2012","1941-6520","The Two Facets of Collaboration: Cooperation and Coordination in Strategic Alliances","Academy of Management Annals","bwl",\N
"66","28","Russia","1","66","10.1080/19416520.2013.783669","6","2013","1941-6520","A Behavioral Theory of Corporate Governance: Explicating the Mechanisms of Socially Situated and Socially Constituted Agency","The Academy of Management Annals","bwl",\N
"67","28","Spain","2","67","10.5465/annals.2016.0017","81","2017","1941-6520","A Matter of Life or Death: How Extreme Context Research Matters for Management and Organization Studies","Academy of Management Annals","bwl",\N
"68","29","Brazil","2","68","10.5465/annals.2014.0046","144","2017","1941-6520","Microdynamics in Diverse Teams: A Review and Integration of the Diversity and Stereotyping Literatures","Academy of Management Annals","bwl",\N
"69","29","Pakistan","1","69","10.5465/annals.2016.0089","80","2018","1941-6520","Categorizing Institutional Logics, Institutionalizing Categories: A Review of Two Literatures","Academy of Management Annals","bwl",\N
"71","29","South Africa","1","71","10.1080/19416520.2011.590297","283","2011","1941-6520","Dynamics in groups: Are we there yet?","Academy of Management Annals","bwl",\N
"73","29","India","2","73","10.1080/19416520.2011.593319","6","2011","1941-6520","Field Research Practice in Management and Organization Studies: Reclaiming its Tradition of Discovery","Academy of Management Annals","bwl",\N
"74","29","France","1","74","10.1080/19416520.2016.1161965","5","2016","1941-6520","Construct Mixology","The Academy of Management Annals","bwl",\N
"75","29","United States","4","75","10.1080/19416520.2012.681558","266","2012","1941-6520","Organizational Discourse: Domains, Debates, and Directions","Academy of Management Annals","bwl",\N
"79","29","Norway","1","79","10.1080/19416520.2011.586108","189","2011","1941-6520","Putting the global in global work: An intercultural lens on the practice of cross-national collaboration","Academy of Management Annals","bwl",\N
"80","30","United Kingdom","1","80","10.1080/19416520.2011.571520","218","2011","1941-6520","Action research: Exploring perspectives on a philosophy of practical knowing","Academy of Management Annals","bwl",\N
"82","30","Italy","1","82","10.5465/annals.2014.0066","82","2017","1941-6520","Understanding the Dual Nature of Ambivalence: Why and When Ambivalence Leads to Good and Bad Outcomes","Academy of Management Annals","bwl",\N
"83","30","United States","3","83","10.5465/annals.2016.0049","94","2017","1941-6520","Opportunity, Motivation, and Ability to Learn from Failures and Errors: Review, Synthesis, and Ways to Move Forward","Academy of Management Annals","bwl",\N
"84","30","Malaysia","1","84","10.5465/annals.2015.0151","98","2017","1941-6520","A Look Back and a Leap Forward: A Review and Synthesis of the Individual Work Performance Literature","Academy of Management Annals","bwl",\N
"85","30","Sweden","1","85","10.5465/annals.2016.0014","189","2018","1941-6520","Quo Vadis, Dynamic Capabilities? A Content-Analytic Review of the Current State of Knowledge and Recommendations for Future Research","Academy of Management Annals","bwl",\N
"86","30","Russia","1","86","10.5465/annals.2016.0011","181","2017","1941-6520","What You See Is What You Get? Enhancing Methodological Transparency in Management Research","Academy of Management Annals","bwl",\N
"88","31","United Kingdom","3","88","10.1080/19416520.2016.1162013","3","2016","1941-6520","The Academy of Management Annals Career Mobility in a Global Era : Advances in Managing Expatriation and Repatriation Career Mobility in a Global Era Advances in Managing Expatriation and Repatriation","The Academy of Management Annals","bwl",\N
"89","31","Netherlands","1","89","10.5465/annals.2016.0059","78","2017","1941-6520","Work–Life Flexibility for Whom? Occupational Status and Work–Life Inequality in Upper, Middle, and Lower Level Jobs","Academy of Management Annals","bwl",\N
"90","31","Italy","2","90","10.5465/annals.2016.0033","53","2017","1941-6520","A Pluralistic Perspective to Overcome Major Blind Spots in Research on Interorganizational Relationships","Academy of Management Annals","bwl",\N
"91","31","Slovenia","1","91","10.5465/annals.2015.0125","83","2017","1941-6520","Scaling: Organizing and Growth in Entrepreneurial Ventures","Academy of Management Annals","bwl",\N
"92","31","Norway","1","92","10.5465/annals.2014.0051","71","2017","1941-6520","A Critical Analysis of the Conceptualization and Measurement of Organizational Justice: Is It Time for Reassessment?","Academy of Management Annals","bwl",\N
"94","31","United States","3","94","10.5465/annals.2014.0001","51","2017","1941-6520","Cooperation across Disciplines: A Multilevel Perspective on Cooperative Behavior in Governing Interfirm Relations","Academy of Management Annals","bwl",\N
