"1","1","","Business, Management and Accounting","71","1","10.1080/19416520.2012.678697","122","2012","1941-6520","The Sporting Life: Exploring Organizations through the Lens of Sport","Academy of Management Annals","bwl",\N
"2","1","","Physics and Astronomy","1","2","10.5465/annals.2016.0167","9","2018","1941-6520"," The Academy of Management Annals : Looking Back, Looking Forward ","Academy of Management Annals","bwl",\N
"3","1","","Psychology","17","3","10.1080/19416520.2011.587283","58","2011","1941-6520","Naï{dotless}veté and cynicism in negotiations and other competitive contexts","Academy of Management Annals","bwl",\N
"4","1","","Sports and Recreations","8","4","10.5465/annals.2016.0077","33","2018","1941-6520","Work–Family Backlash: The “Dark Side” of Work–Life Balance (WLB) Policies","Academy of Management Annals","bwl",\N
"5","1","","Nursing and Health Professions","1","5","10.5465/annals.2014.0079","71","2017","1941-6520","Redirecting Research Efforts on the Diversification–Performance Linkage: The Search for Synergy","Academy of Management Annals","bwl",\N
"6","1","","Unspecified","6","6","10.5465/19416520.2016.1162423","0","2018","1941-6520","                    Diverging and Converging:                    Integrative Insights on a Paradox Meta-perspective                  ","Academy of Management Annals","bwl",\N
"7","1","","Design","2","7","10.5465/annals.2016.0044","96","2017","1941-6520","A Multi-Level Process Model for Understanding Diversity Practice Effectiveness","Academy of Management Annals","bwl",\N
"8","1","","Computer Science","1","8","10.5465/annals.2016.0055","21","2018","1941-6520","Control–Trust Dynamics in Organizations: Identifying Shared Perspectives and Charting Conceptual Fault Lines","Academy of Management Annals","bwl",\N
"9","1","","Arts and Humanities","1","9","10.5465/19416520.2013.782190","324","2018","1941-6520","Research on Women Entrepreneurs: Challenges to (and from) the Broader Entrepreneurship Literature?","Academy of Management Annals","bwl",\N
"10","1","","Social Sciences","11","10","10.5465/annals.2017.0035","19","2018","1941-6520","More Than Just a Number? The Conceptualization and Measurement of Firm Age in an Era of Temporary Organizations","Academy of Management Annals","bwl",\N
"11","1","","Economics, Econometrics and Finance","3","11","10.5465/annals.2016.0094","37","2018","1941-6520","Social Resource Management: Integrating Social Network Theory and Human Resource Management","Academy of Management Annals","bwl",\N
"12","2","","Business, Management and Accounting","8","12","10.5465/annals.2016.0133","12","2018","1941-6520","The Dilemma Portfolio: A Strategy to Advance the Study of Social Dilemmas in Organizations","Academy of Management Annals","bwl",\N
"13","2","","Unspecified","1","13","10.5465/annals.2016.0045","43","2018","1941-6520","Developing, Sustaining, and Maximizing Team Effectiveness: An Integrative, Dynamic Perspective of Team Development Interventions","Academy of Management Annals","bwl",\N
"15","3","","Economics, Econometrics and Finance","2","15","10.5465/19416520.2013.798963","0","2018","1941-6520","Erratum","Academy of Management Annals","bwl",\N
"16","3","","Unspecified","3","16","10.5465/annals.2015.0126","203","2017","1941-6520","Self-Control at Work","Academy of Management Annals","bwl",\N
"17","3","","Engineering","1","17","10.5465/annals.2016.0046","43","2017","1941-6520","Putting Escalation of Commitment in Context: A Multilevel Review and Analysis","Academy of Management Annals","bwl",\N
"18","3","","Design","1","18","10.5465/annals.2016.0041","78","2018","1941-6520","Valuing Multiple Trajectories of Knowledge: A Critical Review and Agenda for Knowledge Management Research","Academy of Management Annals","bwl",\N
"19","3","","Computer Science","2","19","10.5465/annals.2016.0031","38","2018","1941-6520","CEO Attributes and Firm Performance: A Sequential Mediation Process Model","Academy of Management Annals","bwl",\N
