4OR,1619-4500,C,OR
Abacus,0001-3072,B,'BA-FI, STEU, RECH'
Absatzwirtschaft,0001-3374,k.w.Z.,MARK
Academy of Management Annals,1941-6520,A,ABWL
Academy of Management Journal (AMJ),0001-4273,A+,ABWL
Academy of Management Learning & Education,1537-260X,B,'HSM, ORG / PERS'
Academy of Management Perspectives,1558-9080,B,ABWL
Academy of Management Review (AMR),0363-7425,A+,ABWL
Accountancy,0001-4664,D,RECH
Accounting and Business Research,0001-4788,B,'STEU, RECH'
Accounting and Finance,0810-5391,C,'BA-FI, RECH'
Accounting and the Public Interest,1530-9320,C,'ÖBWL, RECH'
Accounting Education: An International Journal,0963-9284 ,C,RECH
Accounting Forum,0155-9982,C,RECH
Accounting Historians Journal,0148-4184,C,RECH
Accounting History,1032-3732,C,RECH
'Accounting History Review (früher: Accounting, Business & Financial History)',0958-5206,B,'BA-FI, RECH'
Accounting Horizons,0888-7993,B,'STEU, RECH'
Accounting in Europe,1744-9480,C,'STEU, RECH'
Accounting Perspectives,1911-382X,C,RECH
Accounting Research Journal,1030-9616,C,RECH
Accounting Review,0001-4826,A+,'STEU, RECH'
'Accounting, Auditing, & Accountability Journal',0951-3574,B,'RECH, WEW'
'Accounting, Economics, and Law –-- A Convivium',2152-2820,B/C,RECH
'Accounting, Organizations and Society',0361-3682,A,'STEU, RECH'
ACM Computing Reviews,0010-4884,C,WI
ACM Computing Surveys,0360-0300,B,WI
ACM SIGMIS Database,0095-0033,B,WI
ACM Transactions on Computer-Human Interaction,1073-0516,B,WI
ACM Transactions on Database Systems,0362-5915,k.R.,WI
ACM Transactions on Information Systems,1046-8188,B,WI
ACM Transactions on Management Information Systems,2158-656X,B,WI
Administration & Society,0095-3997,C,ÖBWL
Administration and Public Management Review,1583-9583,C,ÖBWL
Administrative Science Quarterly (ASQ),0001-8392,A+,ABWL
Advanced Information Systems Engineering. Proceedings of the International Conference CAiSE (früher: Proceedings of the Conference on Advanced Information Systems Engineering),verschiedene ISBN,C,WI
Advances in Accounting,0882-6110,C,'STEU, RECH'
Advances in Applied Business Strategy (eingestellt 2010),0749-6826,k.R.,ABWL
Advances in Consumer Research,0098-9258,C,MARK
Advances in International Marketing,1474-7979,C,'INT, MARK'
Advances in Management Accounting,1474-7871,C,RECH
Advances in Strategic Management,0742-3322,C,'ABWL, SM'
AIS Transaction on Enterprise Systems,1867-7134,C,WI
American Economic Journal: Economic Policy,1945-7731,k.R.,STEU
American Economic Review,0002-8282,A+,ABWL
American Journal of Public Health,0090-0036,k.R.,Gesundheitswesen
American Psychologist,0003-066X,k.R., 
American Review of Public Administration,0275-0740,C,ÖBWL
AMS Review,1869-814X,B,MARK
Annals of Operations Research,0254-5330,B,OR
